SN,Call Recording Reference,Spectrograms made,Used in analysis,Month,Year,location,state/province,country,latitude,longitude,Recordist,Source,Library Reference,,,
117,100215_07 P.humei U SOOR SAROVAR AGRA UP.table.4.selections.txt,5,2,February,2010,Agra,Uttar Pradesh,India,27.18,78.01,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
118,100215_10 U P.humei SOOR SAROVAR AGRA UP,3,2,February,2010,Agra,Uttar Pradesh,India,27.18,78.01,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
119,100301_Italy_FSottile_XC277887 - Hume's Leaf Warbler - Phylloscopus humei,1,0,March,2010,"Palazzolo sull'Oglio, Provincia di Brescia, Lombardia",Brescia,Italy,45.59,9.88,Francesco Sottile,XC,XC277887,Paul Holt,Personal,wav
120,100306_02 Pomatorhinus schisticeps FRI DEHRADUN UTTARAKHAND P-humei background,3,1,March,2010,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Mathew?,NSA,wav
121,101205_06 Chrysocolaptes lucidus drumming Dehradun Uttarakhand P-humei background,2,0,December,2010,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Mathew?,NSA,wav
122,101218_10 Phylloscopus humie U Sariska Rajasthan,1,1,December,2010,Sariska,Rajasthan,India,27.31,76.44,Pratap Singh,Personal,NA-Personal,Mathew?,NSA,wav
123,110205_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - P.humei,3,1,February,2011,Harike,Punjab,India,31.15,74.97,Ante Strand,XC,XC105580,Mike Nelson,XC,mp3
124,110306_Haryana_MikeNelson_XC73381 - Hume's Leaf Warbler - Phylloscopus humei humei,2,0,March,2011,"Sultanpur NP, Haryana",Haryana,India,28.46,76.89,Mike Nelson,XC,XC73381,Pratap Singh,Personal,wav
125,110306_Haryana_MikeNelson_XC73382 - Hume's Leaf Warbler - Phylloscopus humei humei,3,0,March,2011,"Sultanpur NP, Haryana",Haryana,India,28.46,76.89,Mike Nelson,XC,XC73382 ,Frank Lambert,XC,mp3
126,110313_06 U P.humei Dehradun Uttarakhand_check background,2,1,March,2011,Dehradun,Uttarakhand,India,22.33,80.61,Pratap Singh,Personal,NA-Personal,Frank Lambert,XC,mp3
127,110510_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - P.humei humei,2,1,May,2011,Sorbulak lake,Almaty province,Kazakhstan,43.29,76.78,Arend Wassinck,XC,XC150181,Frank Lambert,XC,mp3
128,110524_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - P.humei humei,2,1,May,2011,Kazakhstan,Blagadarnoe,Kazakhstan,47.1,82.17,Patrick Franke ,XC,XC120496,Frank Lambert,XC,mp3
129,1112022_Delhi_Ramit_XC91910 - Hume's Leaf Warbler - Phylloscopus humei,1,0,December,2011,Delhi,Delhi,India,28.65,77.21,Ramit Singhal,XC,XC91910,S. More,XC,mp3
130,120114_XC92891 - Phylloscopus humei Timo Roeke 14/01/12 Netherlands ,1,0,November,2012,"Katwijk, nachtegaallaan",South Holland,Netherlands,52.2,4.4,Timo Roeke,XC,XC92891,Patrick Franke,XC,mp3
131,120211_Bandhavgarh_Hannu_P.humei_120211_01,2,1,February,2012,Bandhavgarh,Madhya Pradesh,India,23.69,81.03,HANNU,Personal,NA-Personal,Thijs Fijen,XC,mp3
132,120414_XC98777 - Phylloscopus humei Rombout de Wij 14/04/12 Netherlands ,1,0,April,2012,Katwijk a/d Rijn,South Holland,Netherlands,52.19,4.43,Rombout de Wij,XC,XC98777,Pratap Singh,Personal,wav
133,120509_Kazakhistan_ArendWassinck_XC150198 - Hume's Leaf Warbler - Phylloscopus humei humei,3,0,May,2012,"Talasskiy Alatau mountains, South Kazakhstan province",South Kazakhstan province,Kazakhstan,42.4,70.53,Arend Wassinck,XC,XC150198,Pratap Singh,Personal,wav
134,"121007_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)",2,1,October,2012,"Near Anjihai reservoir No. 2, ",Xinjiang,China,44.41,85.52,Paul Holt,Personal,NA-Personal,Albert Lastukhin,XC,mp3
135,"121007_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7244) down sampled",2,1,October,2012,"Near Anjihai reservoir No. 2, ",Xinjiang,China,44.41,85.52,Paul Holt,Personal,NA-Personal,Arend Wassink,XC,mp3
136,"121007_Xinjiang_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7232) downsampled",3,1,October,2012,"Kilometre 10 on route X814 between Shawan & Xigebi, Shawan, ",Xinjiang,China,44.2,85.62,Paul Holt,Personal,NA-Personal,HANNU,Personal,wav
137,121102_Sultanpur_MikeNelson_XC116650 - Hume's Leaf Warbler - Phylloscopus humei humei,4,0,November,2012,"Sultanpur NP, Haryana",Haryana,India,28.46,76.89,Mike Nelson,XC,XC116650,HANNU,Personal,wav
138,121102_Sultanpur_MikeNelson_XC116652 - Hume's Leaf Warbler - P.humei humei,1,1,November,2012,Sultanpur,Haryana,India,28.46,76.89,Mike Nelson,XC,XC116652,HANNU,Personal,wav
139,121103_Matheu_Corbett_00x_P. humei_022A-WA1301000x00xX-0056M0,3,3,November,2012,Corbett NP,Uttarakhand,India,29.53,78.77,"Matheu, Eloisa ",NSA,WA 2013/010/001,Viral Joshi,XC,mp3
140,121221_35 Phylloscopus humie U KNP_Bharatpur Rajasthan,4,1,December,2012,Bharatpur,Rajasthan,India,27.22,77.49,Pratap Singh,Personal,NA-Personal,Paul Holt,Personal,wav
141,130102_Dehradun_LaxmiNarsimha_XC116717 - Hume's Leaf Warbler - Phylloscopus humei,2,0,January,2013,Dehradun,Uttarakhand,India,30.32,78.03,Laxmi Narsimha,XC,XC116717,Pratap Singh,Personal,wav
142,130131_Melghat_FLambert_XC149330 - Hume's Leaf Warbler - P.humei humei,2,1,January,2013,Melghat,Maharashtra,India,21.41,77.15,Frank Lambert,XC,XC149330,Per Alstrom,Personal,wav
143,130201_Melghat_FLambert_XC128094 - Hume's Leaf Warbler - P.humei humei,1,1,February,2013,Melghat,Maharashtra,India,21.41,77.15,Frank Lambert,XC,XC128094,Pratap Singh,Personal,wav
144,130201_Melghat_FLambert_XC128095 - Hume's Leaf Warbler - P.humei humei,1,1,February,2013,Melghat,Maharashtra,India,21.41,77.15,Frank Lambert,XC,XC128095 ,Pratap Singh,Personal,wav
145,130201_Melghat_FLambert_XC128097 - Hume's Leaf Warbler - P.humei humei,1,1,February,2013,Melghat,Maharashtra,India,21.41,77.15,Frank Lambert,XC,XC128097,Pratap Singh,Personal,wav
146,130224_ThaneMaharashtra_S-More_XC165051 - Hume's Leaf Warbler - P.humei,1,1,February,2013,Thane,Maharashtra,India,19.22,72.98,S. More,XC,XC165051,Pratap Singh,Personal,wav
147,130524_XC162534 - P.humei humei Patrick Franke  Mongolia,1,1,May,2013,Chuluut Gol,Selenge Province,Mongolia,48.13,100.26,Patrick Franke,XC,XC162534,Pratap Singh,Personal,wav
148,130629_XC145184 - P.humei humei Thijs Fijen Kazakhstan,1,1,June,2013,Bhindawas Haryana,"Ridder, Ivanovskiy Mountains",Kazakhstan,28.53,76.55,Thijs Fijen,XC,XC145184,Pratap Singh,Personal,wav
149,140310_35 P.humei Bhindawas Haryana,1,1,March,2014,Bhindawas Haryana,Haryana,"Bhindawas, Haryana",28.53,76.55,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
150,140311_15 P.humei Bhindawas Haryana,1,1,March,2014,Bhindawas Haryana,Haryana,"Bhindawas, Haryana",28.53,76.55,Pratap Singh,Personal,NA-Personal,Puja Sharma,ML,mp3
151,1405014_Kazakhistan_AlbertLastukhin_XC184017 - Hume's Leaf Warbler - Phylloscopus humei,1,0,May,2014,"Zhabagly, Tulkibas, South Kazakhstan",Tulkibas,Kazakhstan,42.4,70.62,Albert Lastukhin,XC,XC184017,Pratap Singh,Personal,wav
152,140506_Uzbekistan_AlbertLastukhin_XC184808 - Hume's Leaf Warbler - Phylloscopus humei,2,0,May,2014,"Tashkent, Tashkent Province",Tashkent,Uzbekistan,41.31,69.24,Albert Lastukhin,XC,XC184808,Pratap Singh,Personal,wav
153,140514_XC180338 - P.humei humei Arend Wassink  Kazakhstan,1,1,May,2014,Sorbulak lake,Almaty Province,Kazakhstan,43.29,76.78,Arend Wassink,XC,XC180338,Pratap Singh,Personal,wav
154,140515_Kazakhistan_AlbertLastukhin_XC184262 - Hume's Leaf Warbler - P.humei,1,1,May,2014,"Temirlan, Ordabasy District, South Kazakhstan",Kazakhstan,Kazakhstan,42.59,69.28,Albert Lastukhin,XC,XC184262,Pratap Singh,Personal,wav
155,1409021_Ladakh_Hannu_Phylloscopus humei_140921_01,2,0,Seotember,2014,Ladakh,Ladakh,Indiia,34.23,77.56,Hannu Janes,Personal,NA-Personal,Pratap Singh,Personal,wav
156,1409021_Ladakh_Hannu_Phylloscopus humei_140921_03,2,0,Seotember,2014,Ladakh,Ladakh,Indiia,34.23,77.56,Hannu Janes,Personal,NA-Personal,Pratap Singh,Personal,wav
157,140921_Ladakh_Hannu_P.humei_140921_02,5,1,September,2014,"Ladakh,India",Ladakh,Ladakh,34.23,77.56,Hannu Janes,Personal,NA-Personal,Frank lambert,XC,mp3
158,140922_Ladakh_Hannu_P.humei_140922_01,1,1,September,2014,"Ladakh,India",Ladakh,Ladakh,34.23,77.56,Hannu Janes,Personal,NA-Personal,Oscar Campbell,XC,mp3
159,150206_Bandhavgarh_Hannu_P.humei_150206,1,1,February,2015,Bandhavgarh,Madhya Pradesh,India,23.69,81.03,Hannu Janes,Personal,NA-Personal,Ehsan Talebi,XC,mp3
160,150329__XC304209 - P.humei humei Viral joshi India Chamoli Uttarakhand,1,1,March,2015,Chamoli,Uttarakhand,India,30.4,79.33,Viral Joshi,XC,XC304209,Per Alstrom,Personal,wav
161,151117_07 P.humei WII Dehradun Uttarakhand,1,1,November,2015,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Per Alstrom,Personal,wav
162,"151123_Haryana_Pholt_Warbler, Hume's Leaf (Haryana)(A16457)",1,1,November,2015,Haryana,Haryana,India,28.46,76.89,Paul Holt,Personal,NA-Personal,Hannu janes,Personal,wav
163,151205_00 P.humei Bah Chambal UP,3,1,December,2015,"Bah, Agra",Uttar Pradesh,India,26.87,78.59,Pratap Singh,Personal,NA-Personal,Hannu janes,Personal,wav
164,151205_01 P.humei Bah Chambal UP,1,1,December,2015,"Bah, Agra",Uttar Pradesh,India,26.87,78.59,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
165,151211_19 P.humei Mukki Kanha Madhya Pradesh,1,2,December,2015,Kanha,Madhya Pradesh,India,22.33,80.61,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
166,151211_27 P.humei Mukki Kanha Madhya Pradesh,2,1,December,2015,Kanha,Madhya Pradesh,India,22.33,80.61,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
167,151211_Kanha_P.humei Call Kanha 11Dec2015 Ind2015 LS110012,2,1,December,2015,Kanha,Madhya Pradesh,India,22.33,80.61,Per Alstrom,Personal,NA-Personal,Ramit Singal,MK,wav
168,1601010_Harike_MikeNelson_XC308176 - Hume's Leaf Warbler - Phylloscopus humei,1,0,October,2016,"Harike, Punjab",Punjab,Indiia,31.15,74.97,Mike Nelson,XC,XC308176,Sharad Apte,ML,wav
169,160116_03 P.humei Harike WLS Punjab,3,1,January,2016,Harike,Punjab,India,31.15,74.97,Pratap Singh,Personal,NA-Personal,Peter Boesman,ML,wav
170,160116_22 P.humei Harike WLS Punjab,1,1,January,2016,Harike,Punjab,India,31.15,74.97,Pratap Singh,Personal,NA-Personal,Peter Boesman,ML,wav
171,160420_338896901ML P.humei,3,1,April,2016,Tehri garhwal,Uttarakhand,India,30.55,70.85,Puja Sharma,ML,338896901ML,Pratap Singh,Personal,wav
172,160707_16 P.humei.,1,1,July,2016,Sural,Himachal Pradesh,Himachal,33.16,76.48,Pratap Singh,Personal,NA-Personal,Peter Boesman,ML,wav
173,160707_19 P.humei,1,1,July,2016,Sural,Himachal Pradesh,Himachal,33.16,76.48,Pratap Singh,Personal,NA-Personal,Peter Boesman,ML,wav
174,160708_08 P.humei song,1,1,July,2016,Sural,Himachal Pradesh,India,33.16,76.48,Pratap Singh,Personal,NA-Personal,Peter Boesman,XC,wav
175,161114_04 P.humei,1,1,November,2016,NW India,Uttarakhand,Dehradun,30.32,78.03,Pratap Singh,Personal,NA-Personal,Peter Boesman,ML,wav
176,161114_05 P.humei+Corvus macrorhynchos,1,1,November,2016,NW India,Uttarakhand,Dehradun,30.32,78.03,Pratap Singh,Personal,NA-Personal,Peter Boesman,ML,wav
177,170102_Pune_Lakshmi Ravishankar_XC360899 - Hume's Leaf Warbler - Phylloscopus humei,1,0,October,2017,"Pune, Maharashtra",Maharashtra,Indiia,18.52,73.86,Lakshmi Ravishankar,XC,XC360899,Peter Boesman,ML,wav
178,170120_01 P.humei,1,1,January,2017,NW India,Uttarakhand,Dehradun,30.32,78.03,Pratap Singh,Personal,NA-Personal,Oscar Campbell,XC,mp3
179,170531_XC414415 - P.humei humei Frank Lambert  Mongolia,1,1,May,2017,"Barig, forest areas to north, Ulziit, Bayankhongor",Bayankhongor,Mongolia,46.22,101.31,Frank lambert,XC,XC414415,Pratap Singh,Personal,wav
180,170626_Kazakhistan_OscarCampbell_XC378883 - Hume's Leaf Warbler - P.humei,1,1,June,2017,"Almaty, Karasay District, Almaty Province",Kazakhstan,Kazakhstan,43.05,76.99,Oscar Campbell,XC,XC378883,Pratap Singh,Personal,wav
181,171125_XC399040 - P.humei Ehsan Talebi Iran,2,1,November,2017,"Hormozgan Province, Iran",Iran,Iran,27.18,57.04,Ehsan Talebi,XC,XC399040,Oscar Campbell,Personal,mp3
182,"180000_Xinjiang_PA_Phylloscopus humei Mosuowan, Xinjiang, China XJ2018_1074",1,0,May,2018,"Mosuowan, Xinjiang",Xinjiang,China,45.12,85.99,Per Alstrom,Personal,NA-Personal,Pratap Singh,Personal,wav
183,"180000_Xinjiang_PA_Phylloscopus humei Mosuowan, Xinjiang, China XJ2018_1086",1,0,May,2018,"Mosuowan, Xinjiang",Xinjiang,China,45.12,85.99,Per Alstrom,Personal,NA-Personal,Pratap Singh,Personal,wav
184,"180000_Xinjiang_PA_Phylloscopus humei Mosuowan, Xinjiang, China XJ2018_1087",1,0,May,2018,"Mosuowan, Xinjiang",Xinjiang,China,45.12,85.99,Per Alstrom,Personal,NA-Personal,Pratap Singh,Personal,wav
185,"180000_Xinjiang_PA_Phylloscopus humei Mosuowan, Xinjiang, China XJ2018_1088",3,0,May,2018,"Mosuowan, Xinjiang",Xinjiang,China,45.12,85.99,Per Alstrom,Personal,NA-Personal,Arvind Khanna,ML,wav
186,"180000_Xinjiang_PA_Phylloscopus humei Mosuowan, Xinjiang, China XJ2018_1089",1,0,May,2018,"Mosuowan, Xinjiang",Xinjiang,China,45.12,85.99,Per Alstrom,Personal,NA-Personal,João Tomás,ML,wav
187,"180000_Xinjiang_PA_Phylloscopus humei Mosuowan, Xinjiang, China XJ2018_1102_1099",2,0,May,2018,"Mosuowan, Xinjiang",Xinjiang,China,45.12,85.99,Per Alstrom,Personal,NA-Personal,João Tomás,ML,wav
188,180131_Harike_Hannu_P.humei 180131,3,1,January,2018,Harike,Punjab,India,31.15,74.97,Hannu janes,Personal,NA-Personal,João Tomás,ML,wav
189,180131_Harike_Hannu_Phylloscopus humei 180131_02,1,0,January,2018,Harike,Punjab,India,31.15,74.97,Hannu Janes,Personal,NA-Personal,Francisco Maia,ML,wav
190,180131_Harike_Hannu_Phylloscopus humei 180131_03,3,0,January,2018,Harike,Punjab,India,31.15,74.97,Hannu Janes,Personal,NA-Personal,Hugo Lousa,ML,wav
191,180131_Harike_Hannu_Phylloscopus humei 180131_05,1,0,January,2018,Harike,Punjab,India,31.15,74.97,Hannu Janes,Personal,NA-Personal,Hugo Lousa,ML,wav
192,180203_07 P.humei,1,1,February,2018,Mahableswar,Maharashtra,India,17.93,73.65,Pratap Singh,Personal,NA-Personal,JISHNU  K,ML,wav
193,180204_10 P.humei,1,1,February,2018,Mahableswar,Maharashtra,Indiia,17.93,73.65,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,waqv
194,180205_10 P.humei Mahabaleswar,1,1,February,2018,Mahableswar,Maharashtra,Indiia,17.93,73.65,Pratap Singh,Personal,NA-Personal,Mike Prince,ML,wav
195,180209_Siana Rajasthan_Hannu_P.humei 180209,2,1,February,2018,Siana,Rajasthan,India,25.12,72.66,Hannu janes,Personal,NA-Personal,Pratap Singh,Personal,wav
196,"181000_Xinjiang_PA_P.humei Call Mosuowan, Xinjiang, China XJ2018_1072",1,1,May,2018,"NW Xinjiang, China",Mosuowan,Mosuowan,45.03,86.06,Per Alstrom,Personal,NA-Personal,Pratap Singh,Personal,wav
197,"18110x_Xinjiang_PA_P.humei Call Mosuowan, Xinjiang, China XJ2018_1102_1100",1,1,May,2018,"NW Xinjiang, China",Mosuowan,Mosuowan,45.03,86.06,Per Alstrom,Personal,NA-Personal,Oscar Campbell,ML,mp3
198,181211_232243771ML P.humei,1,1,December,2018,Gautam budh nagar,Uttar Pradesh,India,28.54,77.39,Ramit Singal,MK,232243771ML,Pratap Singh,Personal,wav
199,190205_347457461ML P.humei,1,1,February,2019,Hoshangabad,Mdhya Pradesh,India,22.74,77.74,Sharad Apte,ML,347457461ML,Pratap Singh,Personal,wav
200,190219_284333ML P.humei,1,1,February,2019,Bharatpur,Rajasthan,India,27.22,77.49,Peter Boesman,ML,284333ML,Pratap Singh,Personal,wav
201,190219_284362ML Phylloscopus humei,1,0,February,2019,Bharatpur,Rajasthan,India,27.22,77.49,Peter Boesman,ML,284362ML,Rajesh  Kalra,ML,wav
202,190219_284402ML Phylloscopus humei,1,0,February,2019,Bharatpur,Rajasthan,India,27.22,77.49,Peter Boesman,ML,284402ML,Pratap Singh,Personal,wav
203,190224_284439ML P.humei,1,1,February,2019,Jodhpur,Rajasthan,India,26.26,73.01,Peter Boesman,ML,284439ML,Pratap Singh,Personal,wav
204,190310_2273 P.humei WII,1,1,March,2019,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Pratap Singh,Personal,wav
205,190412_284749ML P.humei,2,2,April,2019,Pangot,Uttarakhand,India,29.42,79.42,Peter Boesman,ML,284749ML,Pratap Singh,Personal,wav
206,190412_284759ML P.humei,3,1,April,2019,Pangot,Uttarakhand,India,29.42,79.42,Peter Boesman,XC,284759ML,Pratap Singh,Personal,wav
207,190414_284860ML P.humei,1,1,April,2019,Nainital,Uttarakhand,Indiia,29.39,79.45,Peter Boesman,ML,284860ML,Pratap Singh,Personal,wav
208,190414_XC472916 - Phylloscopus humei Peter Boesman India Sattal Nainital Uttarakhand ,1,0,April,2019,"Sattal, nainital",Uttarakhand,India,29.35,79.53,Peter Boesman,XC,XC272916,Pratap Singh,Personal,wav
209,190415_284924ML P.humei,1,1,April,2019,Baijnath,Uttarakhand,India,29.92,79.62,Peter Boesman,ML,284924ML,Christian Kerihuel,XC,mp3
210,190418_284958ML P.humei,1,1,April,2019,Chopta,Uttarakhand,India,29.57,79.05,Peter Boesman,ML,284958ML,Marta Celej,XC,mp3
211,190718_XC495363 - P.humei Oscar Campbell Mongolia,1,1,July,2019,"Bat-Ulzii, Övörkhangai", Övörkhangai,Mongolia,46.82,102.25,Oscar Campbell,XC,XC495363,Christian Kerihuel,XC,mp3
212,191008_MIXPRE-907 Phylloscopus humei,3,0,October,2019,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Valentin Monnoy,XC,mp3
213,191020_MIXPRE-957 P.humei,2,1,October,2019,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Pierre Foulquier,XC,mp3
214,191025_MIXPRE-964 P.humei,1,1,October,2019,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,Agris Celmins,XC,mp3
215,200207_India_Oscar Campbell_XC529846 - Hume's Leaf Warbler - P.humei,1,1,February,2020,Nakhatrana,Gujarat,India,23.34,69.27,Oscar Campbell,Personal,XC529846 ,,,
216,200423_MIXPRE-2017 P.humei,1,1,April,2020,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
217,200925_4608 P.humei WII Dehradun Uttarakhand,5,1,September,2020,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
218,201026_MIXPRE-3187 P.humei WII Dehradun Uttarakhand,5,1,October,2020,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
219,201027_275251591ML P.humei,1,1,October,2020,Dehradun,Uttarakhand,India,30.32,78.03,Arvind Khanna,ML,275251591ML,,,
220,201122_282701211ML P.humei,3,3,November,2020,Faro,Faro,Portugal,37.02,7.93,João Tomás,ML,282701211ML,,,
221,201123_282279981ML P.humei,1,1,November,2020,Faro,Faro,Portugal,37.02,7.93,Francisco Maia,ML,282279981ML,,,
222,201127_283225171ML P.humei,2,1,November,2020,Faro,Faro,Portugal,37.02,7.93,Hugo Lousa,ML,283225171ML,,,
223,201127_283432211ML P.humei,2,1,November,2020,Faro,Faro,Portugal,37.02,7.93,Hugo Lousa,ML,283432211ML,,,
224,201223_367754341ML P.humei,1,1,December,2020,Palakkad,Kerala,India,10.5,76.71,JISHNU  K,ML,367754341ML,,,
225,210104_MIXPRE-3480 P.humei WII Dehradun,2,1,January,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
226,210107_295636581ML P.humei,1,1,January,2021,Nandi Hills,Karnataka,India,13.37,77.68,Mike Prince,ML,295636581ML,,,
227,210114_MIXPRE-3507 P.humei,2,1,January,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
228,210114_MIXPRE-3511 P.humei,1,1,January,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
229,210210_307479921ML P.humei,1,1,February,2021,Mushrif Palace Gardens,Abu Dhabi,United Arab Emirates,24.45,54.38,Oscar Campbell,ML,307479921ML,,,
230,210221_MIXPRE-3602 P.humei,1,1,February,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
231,210305_MIXPRE-3624 P.humei,1,1,March,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
232,210424_MIXPRE-3656 Phylloscopus humei ,1,0,April,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
233,210425_MIXPRE-3690 P.humei,3,1,April,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
234,211009_376179951ML P.humei,0,1,October,2021,North East Delhi,Delhi,Indiia,28.7,77.1,Rajesh  Kalra,ML,376179951ML,,,
235,211102_MixPre-305 P.humei+P-xanthoschistos,2,1,November,2021,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
236,220111_MX661 P.humei WII Dehradun,1,1,January,2022,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
237,220111_MX662 P.humei diff ind WII Dehradun,1,1,January,2022,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
238,220111_MX668 P.humei diff ind WII Dehradun,1,1,January,2022,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
239,220116_XC697468 - Hume's Leaf Warbler - P.humei,1,1,February,2022,"Arrondissement de la Rochelle, Charente-Maritime, Nouvelle-Aquitaine","Charente-Maritime, Nouvelle-Aquitaine",France,46.16,1.15,Christian Kerihuel,XC,XC697468 ,,,
240,220123_XC698415 - Hume's Leaf Warbler - P.humei,1,1,January,2022,"Arrondissement de la Rochelle, Charente-Maritime, Nouvelle-Aquitaine","Charente-Maritime, Nouvelle-Aquitaine",France,46.16,1.15,Marta Celej,XC,XC698415,,,
241,220125_MX709 P.humei WII Dehradun,1,1,January,2022,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
242,220216_MixPre-866 P.humei WII Dehrdaun,1,1,February,2022,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
243,220222_XC710214 - Hume's Leaf Warbler - P.humei,1,1,February,2022,"Saint-Clément-des-Baleines, Charente-Maritime, Nouvelle-Aquitaine","Charente-Maritime, Nouvelle-Aquitaine",France,46.23,1.54,Valentin Monnoy,XC,XC710214,,,
244,220223_XC704667 - Hume's Leaf Warbler - P.humei,1,1,February,2022,"Arrondissement de la Rochelle, Charente-Maritime, Nouvelle-Aquitaine","Charente-Maritime, Nouvelle-Aquitaine",France,46.16,1.15,Christian Kerihuel,XC,XC704667 ,,,
245,220403_XC713062 - Hume's Leaf Warbler - P.humei,1,1,April,2022,"Vallauris, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",Provence-Alpes-Côte d'Azur,France,43.58,7.05,Pierre Foulquier,XC,XC713062,,,
246,220616_MixPre-209 P.humei,1,1,June,2022,Dehradun,Uttarakhand,India,30.32,78.03,Pratap Singh,Personal,NA-Personal,,,
247,220619_XC738539 - Hume's Leaf Warbler - P.humei humei,1,1,June,2022,"Karasay District, Almaty Province",Almaty Province,Kazakhstan,43.09,76.73,Agris Celmins,XC,XC738539,,,