SN,male,Recording ID,Year,Location,Time,Date,Call type,Response,
1a,1,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED,1982,WII,700am,29.03.24,a,0,
1b,1,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,2022,WII,710am,29.03.24,Control,0,
2a,2,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491 EDITED,1991,WII,730am,29.03.24,b,0,
2b,2,210305_MIXPRE-3624 Phylloscopus humei EDITED,2021,WII,737am,29.03.24,Control,1,
3a,3,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,1990,WII,815am,29.03.24,a,0,
3b,3,220111_MX668 Phylloscopus humei diff ind WII Dehradun EDITED,2022,WII,822am,29.03.24,Control,1,
4a,4,0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED,1991,WII,8.38am,29.03.24,b,0,
4b,4,220111_MX662 Phylloscopus humei diff ind WII Dehradun EDITED,2022,WII,8.45am,29.03.24,Control,1,
5a,5,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED,1983,WII,9.18am,30.03.24,a,0,
5b,5,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,2022,WII,9.23am,30.03.24,control,1,
6a,6,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491 EDITED,1991,WII,9.36am,30.03.24,b,0,
6b,6,220616_MixPre-209 Phylloscopus humei EDITED,2022,WII,9.42am,30.03.24,control,1,
7a,7,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,1989,WII,10.17am,30.03.24,a,0,
7b,7,220223_XC704667 - Hume's Leaf Warbler - Phylloscopus humei EDITED,2022,WII,10.23am,30.03.24,control,1,
8a,8,0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,1991,WII,10.51am,30.03.24,b,0,
8b,8,220616_MixPre-209 Phylloscopus humei EDITED,2022,WII,10.57am,30.03.24,control,1,
9a,9,0000_91_11xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0109M0 EDITED,1991,Chandrabani Sal Forest,7.41am,01.04.24,b,0,
9b,9,220111_MX668 Phylloscopus humei diff ind WII Dehradun EDITED,2022,Chandrabani Sal Forest,7.48am,01.04.24,control,1,
10a,10,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,1990,Chandrabani Sal Forest,8.28am,01.04.24,b,0,
11a,11,0000_96_01xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0_96+97_1 EDITED,1996,Chandrabani Sal Forest,8.59am,01.04.24,c,0,
11b,11,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED,2004,Chandrabani Sal Forest,9.08am,01.04.24,d,1,
12a,12,0000_97_02xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0_96+97_4 EDITED,1997,Chandrabani Sal Forest,9.22am,01.04.24,b,0,
12b,12,210305_MIXPRE-3624 Phylloscopus humei EDITED,2021,Chandrabani Sal Forest,9.28am,01.04.24,control,0,
13a,13,2003_XC749562 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,2003,,10.36am,01.04.24,c,0,
13b,13,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED,2010,,10.42am,01.04.24,d,1,
14a,14,"0000_98_01xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)_98+99_3 EDITED",1998,WII Staff Colony,,02.04.24,c,0,
14b,14,220111_MX661 Phylloscopus humei WII Dehradun EDITED,2022,WII Staff Colony,,02.04.24,control,1,
15a,15,2003_XC749562 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,2003,WII Staff Colony,,02.04.24,c,0,
15b,15,220223_XC704667 - Hume's Leaf Warbler - Phylloscopus humei EDITED,2022,WII Staff Colony,,02.04.24,control,1,
16a,16,2001_02xx_Bharatpur_Hannu_PhyhumD301_01+02_2 n EDITED,2001,WII Staff Colony,,02.04.24,c,0,
16b,16,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED",2018,WII Staff Colony,,02.04.24,control,0,
17a,17,0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED,1999,WII Staff Colony,,02.04.24,c,0,
17b,17,190205_347457461ML Phylloscopus humei EDITED,2019,WII Staff Colony,,02.04.24,control,1,
18a,18,050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9 EDITED,2005,WII Staff Colony,,02.04.24,d,0,
18b,18,220111_MX661 Phylloscopus humei WII Dehradun EDITED,2022,WII Staff Colony,,02.04.24,control,1,
19a,19,060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6 EDITED,2006,WII Staff Colony,,02.04.24,d,0,
19b,19,190219_284362ML Phylloscopus humei EDITED,2019,WII Staff Colony,,02.04.24,control,1,
20a,20,060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6 EDITED,2006,WII Staff Colony,,02.04.24,d,0,
20b,20,201127_283225171ML Phylloscopus humei EDITED,2020,WII Staff Colony,,02.04.24,control,0,
21a,21,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED,2009,WII Faculty Residences,,02.04.24,d,0,
21b,21,201026_MIXPRE-3187 Phylloscopus humei WII Dehradun Uttarakhand EDITED,2020,WII Faculty Residences,,02.04.24,c,1,
1a,22,0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED.wav,1994,"Kadvapani Fireline, Dehradun Sal Forest",8.51am,13-11-2024,c,0,
1b,22,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED.wav,2022,"Kadvapani Fireline, Dehradun Sal Forest",8.57am,13-11-2024,control,0,
2a,23,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED.wav,1982,WII Nature Trail,8.13am,24-11-2024,a,1,strange response for older but not for newer
2b,23,110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1 EDITED.wav,2011,WII Nature Trail,8.22am,24-11-2024,e,0,strange response for older but not for newer
3a,24,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED.wav,1983,WII Nature Trail,8.31am,24-11-2024,a,0,
3b,24,"180000x_Xinjiang_PA_Phylloscopus humei Call Mosuowan, Xinjiang, China XJ2018_1086_6 EDITED.wav",2018,WII Nature Trail,8.40am,24-11-2024,control,1,Poor Response
4a,25,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491 EDITED.wav,1991,WII Faculty Residences,9.18am,24-11-2024,b,0,
4b,25,180100x_Harike_Hannu_Phylloscopus humei 180131_05_16 EDITED.wav,2018,WII Faculty Residences,9.31am,24-11-2024,control,0,
5a,26,0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED.wav,1986,WII Faculty Residences,9.55am,24-11-2024,a,0,
5b,26,190205_347457461ML Phylloscopus humei EDITED.wav,2019,WII Faculty Residences,10.03am,24-11-2024,control,1,Moderate Response
6a,27,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED.wav,1991,WII Staff Colony,8.19am,25-11-2024,b,1,Moderate Response
6b,27,210221_MIXPRE-3602 Phylloscopus humei WII Dehradun EDITED.wav,2021,WII Staff Colony,8.26am,25-11-2024,control,1,strong
7a,28,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED.wav,1989,WII Staff Colony,8.37am,25-11-2024,a,0,
7b,28,190219_284362ML Phylloscopus humei EDITED.wav,2019,WII Staff Colony,8.44am,25-11-2024,control,1,
8a,29,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED.wav,1992,WII Staff Colony,8.54am,25-11-2024,b,0,
8b,29,190219_284362ML Phylloscopus humei EDITED.wav,2019,WII Staff Colony,9.00am,25-11-2024,control,1,strong
9a,30,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2 EDITED.wav,1993,WII Nature Trail,8.39am,26-11-2024,b,0,
9b,30,220619_XC738539 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED.wav,2022,WII Nature Trail,8.47am,26-11-2025,control,0,
10a,31,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2 EDITED.wav,1993,WII Nature Trail,9.02am,26-11-2026,b,0,
10b,31,210114_MIXPRE-3511 Phylloscopus humei EDITED.wav,2021,WII Nature Trail,9.08am,26-11-2027,control,1,Moderate Response