sno,YearCopy,Source.Name,Call type,Format,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,DeltaTimeS12,Year,Year5,Decades,Twos,Threes,4 Years
1,1982,0000820504_41935ML Phylloscopus humei India Ben King_1982.Table.5.selections_12splits.txt,a,wav,3962.109,4220.508,4565.039,4909.57,5426.367,4134.375,4220.508,4220.508,4134.375,4048.242,4306.641,3531.445,3875.977,4134.375,4565.039,4909.57,5426.367,4048.242,4306.641,4306.641,4220.508,3962.109,4306.641,3531.445,0.0192,1982,F1,D1,Tw01,T01,IV01
2,1983,00008302xx_Netherlands_Cornelius_P. humei_022A-WS4368XXXXXX-0101M0.Table.4.selections_12splits.txt,a,wav,3375,3750,4125,4312.5,4312.5,5062.5,4312.5,3562.5,3937.5,3750,3562.5,3375,3375,3750,3937.5,4312.5,4500,4875,4312.5,3562.5,3937.5,3750,3562.5,3375,0.0173,1983,F1,D1,Tw01,T01,IV01
3,1983,00008306xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0.Table.4.selections_12splits.txt,a,wav,3375,3937.5,4125,4312.5,4500,4875,3937.5,4125,4125,3562.5,3937.5,3937.5,3375,3937.5,4125,4312.5,4875,5062.5,3750,4125,4125,3562.5,3750,3750,0.0168,1983,F1,D1,Tw01,T01,IV01
4,1986,00008602xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0.Table.4.selections_12splits.txt,b,wav,3375,3562.5,3750,3937.5,3937.5,4500,4687.5,5250,5250,4875,3937.5,3750,4687.5,3562.5,3750,3937.5,3937.5,4500,4687.5,5062.5,4875,5062.5,4312.5,3937.5,0.0149,1986,F2,D1,Tw03,T02,IV02
5,1986,00008602xx_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0.Table.4.selections_12splits.txt,b,wav,3562.5,3750,3937.5,4125,4687.5,4687.5,3562.5,3750,3937.5,3375,3750,3375,3375,3750,3937.5,4125,4500,4687.5,4312.5,3750,3937.5,3375,3750,3375,0.0171,1986,F2,D1,Tw03,T02,IV02
6,1986,00008605xx_Tuva Russia_Nicolai_P. humei_022A-WS4371XXXXXX-0104M0.Table.4.selections_12splits.txt,b,wav,3750,3937.5,3937.5,4312.5,5250,5437.5,4875,4875,5062.5,4312.5,3937.5,3375,3750,3937.5,3937.5,4125,5062.5,5250,4500,4875,4875,4125,3937.5,3562.5,0.0136,1986,F2,D1,Tw03,T02,IV02
7,1986,00008606xx_xxxx_Svensson_P. humei_022A-WS4368XXXXXX-0110M0.Table.4.selections_12splits.txt,a,wav,3562.5,3750,3750,4125,4312.5,4125,3750,3750,3750,3375,3750,3562.5,3562.5,3750,3937.5,4125,4312.5,3937.5,3750,3750,3750,3375,3750,3562.5,0.0173,1986,F2,D1,Tw03,T02,IV02
8,1989,0000890000x_ Phyloscopus humei _Trevor Price overa Humei1989.Table.4.selections_12splits.txt,b,wav,3962.109,4134.375,4306.641,4995.703,4478.906,3962.109,4392.773,4134.375,3703.711,3962.109,4134.375,4048.242,3962.109,4134.375,4306.641,4823.438,4823.438,4134.375,4392.773,4134.375,4134.375,3962.109,4134.375,3962.109,0.0151,1989,F2,D1,Tw04,T03,IV02
9,1989,00008912xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7.Table.4.selections_12splits.txt,a,wav,5857.031,3617.578,3703.711,3875.977,4048.242,4392.773,4823.438,5081.836,5340.234,5598.633,5857.031,4651.172,5857.031,3531.445,3703.711,3875.977,4048.242,4306.641,4823.438,5254.102,5167.969,5340.234,5770.898,4909.57,0.0131,1989,F2,D1,Tw04,T03,IV02
10,1990,00009001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0.Table.4.selections_12splits.txt,a,wav,3703.711,4134.375,4134.375,4392.773,4737.305,5512.5,5426.367,4048.242,3789.844,3962.109,4306.641,4306.641,3703.711,4048.242,4134.375,4392.773,4651.172,5512.5,4392.773,4048.242,3875.977,4048.242,4220.508,4220.508,0.0154,1990,F2,D1,Tw05,T03,IV03
11,1991,0000910000x_Phylloscopus humei Bharatpur K91 2_489-491.Table.4.selections_12splits.txt,a,wav,3468.75,3656.25,3843.75,3937.5,4031.25,4968.75,3562.5,3562.5,3656.25,3093.75,3937.5,3843.75,3468.75,3750,3843.75,3937.5,4125,4875,3750,3562.5,3656.25,3562.5,3937.5,3843.75,0.0162,1991,F3,D1,Tw05,T04,IV03
12,1991,0000910000x_Phylloscopus humei call Bharatpur Ind91 2_436-468.Table.4.selections_12splits.txt,b,wav,5812.5,3843.75,4031.25,4031.25,4312.5,4593.75,5062.5,5718.75,5343.75,6750,6750,4875,6000,3843.75,3937.5,4031.25,4312.5,4500,4968.75,5625,5343.75,6468.75,6468.75,5062.5,0.0138,1991,F3,D1,Tw05,T04,IV03
13,1991,0000910000x_Phylloscopus humei call Bharatpur Ind91 2_436-468.Table.7.selections_12splits.txt,b,wav,4312.5,3468.75,3656.25,3937.5,4125,4218.75,4312.5,5437.5,5343.75,4218.75,4875,4406.25,4218.75,3468.75,3562.5,3843.75,4031.25,4218.75,4312.5,5156.25,5250,4218.75,4968.75,4312.5,0.0137,1991,F3,D1,Tw05,T04,IV03
14,1991,0000910000x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.10.selections_12splits.txt,b,wav,3468.75,3562.5,3656.25,3750,3937.5,4125,4500,4968.75,5062.5,3750,3468.75,3468.75,3656.25,3562.5,3656.25,3750,3937.5,4125,4406.25,4875,4968.75,3750,3468.75,3468.75,0.0133,1991,F3,D1,Tw05,T04,IV03
15,1991,0000910000x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.4.selections_12splits.txt,b,wav,5343.75,3281.25,3468.75,3937.5,4031.25,4500,4593.75,5062.5,5156.25,4406.25,4968.75,4406.25,5343.75,3281.25,3468.75,3843.75,4031.25,4406.25,4593.75,5156.25,4968.75,4406.25,5062.5,4406.25,0.0138,1991,F3,D1,Tw05,T04,IV03
16,1991,0000910000x_Phylloscopus humei Call Bharatpur Ind91 2_549-570.Table.7.selections_12splits.txt,a,wav,4875,6281.25,3562.5,3656.25,3750,4406.25,5156.25,5156.25,4406.25,6375,4500,4218.75,4781.25,5343.75,3562.5,3656.25,3656.25,4312.5,5156.25,5156.25,4312.5,6375,5062.5,4218.75,0.014,1991,F3,D1,Tw05,T04,IV03
17,1991,0000910300x_Phylloscopus humei L PA_91_03_653-.Table.4.selections_12splits.txt,b,wav,3359.18,3531.445,3531.445,3789.844,3875.977,4134.375,4565.039,4823.438,4478.906,6201.562,4392.773,3962.109,3273.047,3445.312,3531.445,3703.711,3875.977,4048.242,4478.906,4823.438,4478.906,4737.305,4565.039,3962.109,0.0136,1991,F3,D1,Tw05,T04,IV03
18,1991,0000910300x_Phylloscopus humei L PA_91_03_653-.Table.7.selections_12splits.txt,a,wav,3531.445,3531.445,3617.578,3962.109,4048.242,4478.906,4737.305,3359.18,3359.18,2928.516,3617.578,3531.445,3359.18,3531.445,3703.711,3962.109,4048.242,4478.906,4565.039,3359.18,3359.18,3186.914,3617.578,3445.312,0.0182,1991,F3,D1,Tw05,T04,IV03
19,1991,00009111xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0108M0.Table.4.selections_12splits.txt,a,wav,4875,3375,3750,3937.5,4312.5,4500,5062.5,4687.5,3375,3375,3562.5,4125,4875,3562.5,3750,3937.5,4125,4500,4875,4687.5,3375,4500,3562.5,4125,0.0182,1991,F3,D1,Tw05,T04,IV03
20,1991,00009111xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0109M0.Table.4.selections_12splits.txt,a,wav,3750,3937.5,4312.5,4312.5,4687.5,4875,4875,3750,3750,4312.5,4125,3937.5,3562.5,3937.5,4125,4312.5,4687.5,4687.5,4500,3937.5,4125,4312.5,4125,4125,0.0169,1991,F3,D1,Tw05,T04,IV03
21,1991,00009111xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0111M0.Table.4.selections_12splits.txt,a,wav,2437.5,3375,3937.5,3750,3937.5,4125,4500,5062.5,4687.5,3937.5,3937.5,3937.5,3937.5,3375,3750,3750,3937.5,4125,4687.5,4875,4312.5,3937.5,3937.5,3937.5,0.0179,1991,F3,D1,Tw05,T04,IV03
22,1992,0000920000x_Phylloscopus humei Call Bharatpur Ind92 185-230.Table.4.selections_12splits.txt,a,wav,3656.25,3750,3843.75,4125,4406.25,4687.5,4781.25,3375,3375,3375,4031.25,3750,3656.25,3750,3843.75,4125,4406.25,4781.25,4500,3375,3468.75,3375,4031.25,3750,0.0169,1992,F3,D1,Tw06,T04,IV03
23,1992,0000920000x_Phylloscopus humei Call Bharatpur Ind92 185-230.Table.7.selections_12splits.txt,b,wav,6281.25,3750,3750,4031.25,4218.75,4406.25,5062.5,5625,4968.75,6187.5,4593.75,4406.25,6187.5,3750,3750,3937.5,4218.75,4406.25,4968.75,5531.25,5156.25,6093.75,5062.5,4406.25,0.014,1992,F3,D1,Tw06,T04,IV03
24,1992,0000920100x_Phylloscopus humei L PA_92_01_553-.Table.4.selections_12splits.txt,b,wav,4995.703,3703.711,3703.711,3962.109,4048.242,4478.906,4737.305,4995.703,5512.5,5081.836,5081.836,4737.305,5254.102,3617.578,3789.844,3962.109,4048.242,4392.773,4737.305,5167.969,5340.234,5340.234,5254.102,4737.305,0.015,1992,F3,D1,Tw06,T04,IV03
25,1992,00009201xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0102M0.Table.4.selections_12splits.txt,b,wav,5062.5,5625,3750,3750,3937.5,4500,5250,5625,5812.5,7312.5,6000,4500,5062.5,5062.5,3562.5,3750,3937.5,4500,5250,5625,5812.5,6937.5,5625,4312.5,0.0156,1992,F3,D1,Tw06,T04,IV03
26,1992,00009201xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0103M0.Table.4.selections_12splits.txt,b,wav,3187.5,3375,3562.5,3750,4125,4312.5,4687.5,6187.5,4312.5,3937.5,3562.5,3187.5,4687.5,3375,3562.5,3750,3937.5,4500,4687.5,6000,4875,3937.5,3375,3187.5,0.0169,1992,F3,D1,Tw06,T04,IV03
27,1992,00009201xx_Corbett_Pholt_P. humei_022A-WS4369XXXXXX-0101M0.Table.4.selections_12splits.txt,b,wav,5437.5,3375,3562.5,3562.5,3937.5,4312.5,4312.5,4687.5,4875,6187.5,4875,4500,5062.5,3375,3562.5,3562.5,3937.5,4125,4312.5,4875,4875,5062.5,5062.5,4312.5,0.0132,1992,F3,D1,Tw06,T04,IV03
28,1992,00009201xx_Corbett_Pholt_P. humei_022A-WS4369XXXXXX-0101M0.Table.7.selections_12splits.txt,a,wav,3375,3562.5,3562.5,3750,4312.5,4875,4312.5,3187.5,3187.5,3000,3750,3375,3562.5,3562.5,3562.5,3750,4125,4875,4500,3187.5,3187.5,3187.5,3750,3375,0.0162,1992,F3,D1,Tw06,T04,IV03
29,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0104M0.Table.4.selections_12splits.txt,b,wav,3375,3375,3562.5,3562.5,3750,3750,3937.5,4500,4687.5,4125,6562.5,4500,3375,3375,3375,3562.5,3750,3750,3937.5,4500,4687.5,4125,6375,4500,0.0149,1993,F3,D2,Tw06,T04,IV03
30,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0.Table.4.selections_12splits.txt,b,wav,5062.5,3562.5,3750,3937.5,4125,4500,5062.5,5250,5250,6562.5,5812.5,5250,5250,3562.5,3750,3937.5,4125,4312.5,4687.5,5250,5250,5437.5,5812.5,5062.5,0.0133,1993,F3,D2,Tw06,T04,IV03
31,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0106M0.Table.4.selections_12splits.txt,b,wav,5250,3375,3375,3750,3937.5,4312.5,5062.5,5062.5,5625,5812.5,3937.5,3562.5,4875,3375,3375,3750,3937.5,4312.5,5062.5,5062.5,4500,5437.5,4125,3562.5,0.0176,1993,F3,D2,Tw06,T04,IV03
32,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0107M0.Table.4.selections_12splits.txt,b,wav,5625,3562.5,3750,4125,4125,4312.5,4687.5,5062.5,5062.5,5437.5,6187.5,4875,5250,3375,3750,3937.5,4125,4312.5,4687.5,5062.5,5062.5,6375,6187.5,4687.5,0.0161,1993,F3,D2,Tw06,T04,IV03
33,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0107M0.Table.7.selections_12splits.txt,b,wav,5250,3375,3750,3937.5,4312.5,4312.5,4687.5,4687.5,6187.5,5062.5,3937.5,4500,5062.5,3375,3562.5,3937.5,4125,4312.5,4687.5,4500,6000,4687.5,3937.5,4500,0.0195,1993,F3,D2,Tw06,T04,IV03
34,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0108M0.Table.4.selections_12splits.txt,b,wav,5437.5,5812.5,6562.5,3562.5,3750,4312.5,4500,4875,5062.5,4500,6375,5250,5437.5,6187.5,6375,3562.5,3750,4125,4312.5,4875,4875,4687.5,6562.5,5250,0.0151,1993,F3,D2,Tw06,T04,IV03
35,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0108M0.Table.7.selections_12splits.txt,b,wav,6000,6375,6750,3562.5,3937.5,4312.5,4687.5,5062.5,5062.5,6375,6000,4500,6000,6375,3562.5,3562.5,3937.5,4125,4500,5062.5,5062.5,6375,5625,4500,0.0153,1993,F3,D2,Tw06,T04,IV03
36,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0109M0.Table.4.selections_12splits.txt,b,wav,4687.5,3187.5,3375,3375,3750,3750,4312.5,4312.5,4875,4312.5,4500,4312.5,3375,3187.5,3375,3375,3750,3937.5,4312.5,4500,4875,4500,4500,4312.5,0.0192,1993,F3,D2,Tw06,T04,IV03
37,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0110M0.Table.4.selections_12splits.txt,b,wav,4312.5,3375,3375,3562.5,3937.5,3937.5,4687.5,4500,4875,3937.5,3562.5,3562.5,4500,3375,3375,3562.5,3937.5,4125,4687.5,4500,5250,4125,3562.5,3375,0.0174,1993,F3,D2,Tw06,T04,IV03
38,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0111M0.Table.4.selections_12splits.txt,b,wav,5437.5,3375,3375,3562.5,3937.5,4312.5,4687.5,4125,5437.5,3937.5,3562.5,3000,5250,3375,3375,3562.5,3750,4312.5,4687.5,4500,5250,3937.5,3562.5,3000,0.018,1993,F3,D2,Tw06,T04,IV03
39,1993,00009301xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0112M0.Table.4.selections_12splits.txt,b,wav,3562.5,3562.5,3562.5,3562.5,3937.5,4125,4687.5,4500,4125,3937.5,3562.5,3187.5,3750,3562.5,3562.5,3562.5,3937.5,4312.5,4687.5,4500,4687.5,3750,3375,3187.5,0.0183,1993,F3,D2,Tw06,T04,IV03
40,1993,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0115M0.Table.4.selections_12splits.txt,b,wav,5812.5,3562.5,3562.5,3375,3562.5,4125,4687.5,5062.5,4875,6750,5437.5,4312.5,5625,3375,3375,3375,3562.5,3937.5,4500,5062.5,4875,4687.5,5437.5,4312.5,0.015,1993,F3,D2,Tw06,T04,IV03
41,1993,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4370XXXXXX-0116M0.Table.4.selections_12splits.txt,b,wav,4875,3375,3562.5,3562.5,3562.5,4125,4125,4875,4875,4312.5,5250,4875,4875,3375,3375,3562.5,3562.5,3937.5,4125,4875,4875,4500,5250,4875,0.0145,1993,F3,D2,Tw06,T04,IV03
42,1993,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4407XXXXXX-0115M0.Table.4.selections_12splits.txt,b,wav,3562.5,3562.5,3562.5,3750,4125,4687.5,4687.5,5625,4875,3750,3562.5,3375,3562.5,3562.5,3562.5,3750,3937.5,4500,4500,5625,4687.5,3750,3375,3187.5,0.0197,1993,F3,D2,Tw06,T04,IV03
43,1993,00009309xx_Kazakistan_Pholt_P. humei_022A-WS4407XXXXXX-0115M0.Table.7.selections_12splits.txt,b,wav,3000,3562.5,3562.5,3750,3937.5,4500,4875,3562.5,4875,3750,3562.5,3187.5,3000,3562.5,3562.5,3750,3937.5,4312.5,4687.5,4500,4875,3750,3562.5,3187.5,0.0206,1993,F3,D2,Tw06,T04,IV03
44,1994,00009401xx_Bharatpur__Drijvers_P. humei_022A-W0001X0228XX-0101M0.Table.4.selections_12splits.txt,b,wav,4909.57,3703.711,3875.977,3875.977,4220.508,4478.906,4478.906,4995.703,4823.438,4823.438,5167.969,4909.57,5081.836,4220.508,3875.977,3875.977,4220.508,4392.773,4737.305,5081.836,4737.305,4995.703,5254.102,4823.438,0.0135,1994,F3,D2,Tw07,T05,IV04
45,1994,000094xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor.Table.4.selections_12splits.txt,c,wav,4392.773,3962.109,6287.695,6287.695,3445.312,4048.242,4478.906,4565.039,4823.438,4392.773,5340.234,4995.703,4392.773,3875.977,6201.562,5770.898,3445.312,4048.242,4392.773,4565.039,4737.305,4392.773,5426.367,4909.57,0.0163,1994,F3,D2,Tw07,T05,IV04
46,1994,000094xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor.Table.7.selections_12splits.txt,c,wav,4220.508,3703.711,5770.898,5512.5,3445.312,3875.977,4565.039,4737.305,4565.039,3789.844,4995.703,4392.773,4392.773,3703.711,5770.898,5512.5,3445.312,3875.977,4478.906,4737.305,4478.906,4220.508,5254.102,4478.906,0.0157,1994,F3,D2,Tw07,T05,IV04
47,1994,000094xxxx_Phylloscopus humei_Trevor Price_PhumeiRbM_Manali 1994 Trevor.Table.4.selections_12splits.txt,c,wav,3875.977,3359.18,3186.914,3186.914,3617.578,4134.375,4478.906,4909.57,4995.703,4478.906,6115.43,5340.234,4995.703,3703.711,3186.914,4306.641,3617.578,4134.375,4478.906,4823.438,4995.703,4565.039,6115.43,5167.969,0.0155,1994,F3,D2,Tw07,T05,IV04
48,1996,00009601xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0.Table.4.selections_12splits.txt,c,wav,3273.047,2842.383,2842.383,2842.383,3445.312,3962.109,4478.906,4651.172,4909.57,4909.57,4306.641,4220.508,3273.047,2928.516,3359.18,3273.047,3273.047,3789.844,4392.773,4737.305,4909.57,4823.438,4909.57,4220.508,0.0164,1996,F4,D2,Tw08,T05,IV04
49,1996,00009602xx_Nepal_Harrap_P. humei_022A-W0001X1726XX-0142M0.Table.4.selections_12splits.txt,c,wav,4478.906,3359.18,3014.648,6029.297,3531.445,3789.844,3962.109,4478.906,4392.773,4478.906,5512.5,4478.906,4737.305,3359.18,3100.781,5943.164,3617.578,3789.844,4048.242,4478.906,4478.906,4392.773,5340.234,4651.172,0.0151,1996,F4,D2,Tw08,T05,IV04
50,1997,00009701xx_Ranathambore_Pholt_P. humei_022A-W0001X0197XX-0109M0.Table.4.selections_12splits.txt,c,wav,3875.977,3789.844,3100.781,3014.648,3273.047,3703.711,4134.375,4220.508,4565.039,3875.977,4909.57,4134.375,3875.977,3703.711,3100.781,3014.648,3273.047,3617.578,4048.242,4392.773,4306.641,3875.977,5167.969,4220.508,0.0175,1997,F4,D2,Tw08,T06,IV04
51,1997,00009702xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0.Table.4.selections_12splits.txt,c,wav,5598.633,3962.109,3703.711,3531.445,3273.047,3789.844,4565.039,4995.703,4909.57,4909.57,6115.43,4909.57,5081.836,4134.375,3703.711,3531.445,3359.18,3789.844,4306.641,4995.703,4995.703,4909.57,5943.164,5254.102,0.0155,1997,F4,D2,Tw08,T06,IV04
52,1997,00009702xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0.Table.7.selections_12splits.txt,c,wav,4220.508,4220.508,3703.711,3359.18,3531.445,3962.109,4220.508,4823.438,4909.57,4995.703,6287.695,4220.508,4220.508,4048.242,3617.578,3359.18,3531.445,3962.109,4565.039,4823.438,4909.57,5081.836,5512.5,4306.641,0.0164,1997,F4,D2,Tw08,T06,IV04
53,1997,0000971000x_AN20bCue 01 Phylloscopus humei Dehradun Uttarakhand 1997 October.Table.4.selections_12splits.txt,c,wav,3445.312,3273.047,3273.047,3273.047,3186.914,3445.312,4220.508,4478.906,4306.641,4392.773,5081.836,3962.109,3445.312,3273.047,3186.914,3273.047,3186.914,3531.445,4134.375,4306.641,4306.641,4392.773,5081.836,4220.508,0.015,1997,F4,D2,Tw08,T06,IV04
54,1998,"00009801xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29).Table.4.selections_12splits.txt",c,wav,3359.18,3100.781,3100.781,2842.383,3359.18,3875.977,4134.375,4220.508,4392.773,5943.164,5340.234,4048.242,4565.039,3100.781,3014.648,2928.516,3273.047,3875.977,4048.242,4306.641,4306.641,5943.164,4995.703,3962.109,0.0168,1998,F4,D2,Tw09,T06,IV05
55,1998,"00009801xx_Bharatpur_Pholt_Warbler, Hume's Leaf (Rajasthan)(CD26-13).Table.4.selections_12splits.txt",c,wav,5857.031,3617.578,5857.031,5426.367,3273.047,3789.844,3962.109,4134.375,4220.508,5857.031,5857.031,3789.844,5857.031,3617.578,5684.766,5426.367,3273.047,3703.711,3962.109,4048.242,4134.375,5857.031,5426.367,3789.844,0.0185,1998,F4,D2,Tw09,T06,IV05
